#,channel,category,status,subscribers,youtube_url,content_style,level,why_include
13,TechWorld with Nana,💻 Software Engineering,Add,~986K,https://www.youtube.com/@TechWorldwithNana,"Kubernetes, Docker, Jenkins, Terraform — DevOps made visual",Intermediate,Go-to channel for DevOps and cloud-native stack
14,NeetCode,💻 Software Engineering,Add,~600K,https://www.youtube.com/@NeetCode,"DSA problems, system design, coding interview prep",Intermediate,Best algorithm + system design combo for interview-track SWEs
15,ArjanCodes,💻 Software Engineering,Add,~400K,https://www.youtube.com/@ArjanCodes,"Python software design, clean code, OOP, architecture patterns",Intermediate,"Best channel for writing Python the professional, principled way"
16,GOTO Conferences,💻 Software Engineering,Add,~270K,https://www.youtube.com/@GOTO-,"Conference talks: architecture, distributed systems, languages, practices",Advanced,"Martin Fowler, Dave Farley et al — conference-quality senior-dev content"
17,Corey Schafer,💻 Software Engineering,Add,~1.5M,https://www.youtube.com/@coreyms,"Python fundamentals, OOP, Flask/Django — crystal clear explanations",Intermediate,Most trusted Python tutorial channel — content ages beautifully
18,Tech With Tim,💻 Software Engineering,Add,~1.3M,https://www.youtube.com/@TechWithTim,"Python projects, ML, Flask/FastAPI, game dev — learn by building",Beginner,Great bridge from tutorial to real project for Python learners
19,Reducible,💻 Software Engineering,Add,~250K,https://www.youtube.com/@Reducible,"Visual CS algorithms — graph theory, compression, sorting",Intermediate,3Blue1Brown-quality production for computer science algorithms
20,CMU Database Group,💻 Software Engineering,Add,~95K,https://www.youtube.com/@CMUDatabaseGroup,University-level database systems lectures by Andy Pavlo,Advanced,"The most rigorous, entertaining database course on the internet"
21,Strange Loop Conf,💻 Software Engineering,Add,~33K,https://www.youtube.com/@StrangeLoopConf,"Cutting-edge conference talks: PLs, distributed systems, novel tech",Advanced,Where the most forward-thinking engineers share ideas
22,Theo (t3.gg),💻 Software Engineering,Add,~450K,https://www.youtube.com/@t3dotgg,"TypeScript ecosystem, Next.js, tRPC, web infra decisions from ex-Twitch",Advanced,Most influential voice on modern TypeScript/full-stack web decisions
23,Dreams of Code,💻 Software Engineering,Add,~200K,https://www.youtube.com/@dreamsofcode-io,"Rust, Go, DevOps, modern backend tooling — high production quality",Intermediate,Rising fast — excellent quality modern backend engineering content
24,Continuous Delivery,💻 Software Engineering,Add,~150K,https://www.youtube.com/@ContinuousDelivery,"Dave Farley on software craft, TDD, CI/CD, agile best practices",Advanced,The software engineering conscience — principles over hype
25,ThePrimeTime,💻 Software Engineering,Add,~300K,https://www.youtube.com/@ThePrimeTimeagen,"Code review reactions, SWE culture commentary and stream highlights",Advanced,"Extended Primeagen content — raw, entertaining SWE culture commentary"
26,Two Minute Papers,🤖 AI / Machine Learning,Keep,1.72M,https://www.youtube.com/@TwoMinutePapers,Concise AI research paper summaries with great energy and visuals,Mixed (All Levels),Fastest way to track AI research breakthroughs — genuinely fun
27,Sentdex,🤖 AI / Machine Learning,Keep,1.3M,https://www.youtube.com/@sentdex,"Python ML projects, neural nets from scratch, AI news and tutorials",Intermediate,"Learn ML the right way — hands-on, no hand-holding"
28,TensorFlow,🤖 AI / Machine Learning,Keep,~900K,https://www.youtube.com/@TensorFlow,"ML framework updates, TF ecosystem tutorials and research demos",Intermediate,Official source for TensorFlow & Google AI tooling
29,Yannic Kilcher,🤖 AI / Machine Learning,Add,~307K,https://www.youtube.com/@YannicKilcher,In-depth AI paper walkthroughs with wit and skeptical commentary,Advanced,The best channel for actually understanding landmark AI papers
30,Andrej Karpathy,🤖 AI / Machine Learning,Add,~806K,https://www.youtube.com/@AndrejKarpathy,"LLMs, neural nets from scratch — engineer-to-engineer deep learning",Advanced,Legendary content from an OpenAI/Tesla AI mind — unmissable
31,Lex Fridman,🤖 AI / Machine Learning,Add,4.88M,https://www.youtube.com/@lexfridman,"Long-form interviews with AI, robotics and science leaders",Mixed (All Levels),Best channel for understanding the human and strategic side of AI
32,3Blue1Brown,🤖 AI / Machine Learning,Add,7.16M,https://www.youtube.com/@3blue1brown,"Animated visual explainers on math, neural nets, transformers",Mixed (All Levels),Most beautiful and intuitive math/ML explainer on YouTube — essential
33,Matt Wolfe,🤖 AI / Machine Learning,Add,~500K,https://www.youtube.com/@mreflow,"Weekly AI news, tool reviews, industry trends — high throughput",Mixed (All Levels),Best for staying current with AI news & tools without the noise
34,AI Explained,🤖 AI / Machine Learning,Add,~600K,https://www.youtube.com/@aiexplained-official,"AI model releases, ethics debates, industry analysis",Mixed (All Levels),"Sharp, investigative commentary on AI developments — cuts through hype"
35,Hugging Face,🤖 AI / Machine Learning,Add,~90K,https://www.youtube.com/@HuggingFace,"Open-source AI/ML demos, model releases, Spaces tutorials",Intermediate,"Essential for open-source AI ecosystem — models, datasets, spaces"
36,DeepMind,🤖 AI / Machine Learning,Add,~370K,https://www.youtube.com/@Google_DeepMind,Research showcases from one of the world's top AI labs,Advanced,Frontier research direct from DeepMind — AlphaFold to Gemini
37,DeepLearning.AI,🤖 AI / Machine Learning,Add,~900K,https://www.youtube.com/@Deeplearningai,"Andrew Ng's courses and lectures on ML, LLMs, and AI foundations",Mixed (All Levels),Andrew Ng is the most trusted AI educator in the world — period
38,StatQuest,🤖 AI / Machine Learning,Add,~1.0M,https://www.youtube.com/@statquest,"Statistics and ML made friendly — SVMs, forests, neural nets",Beginner,Best channel to build real statistical intuition behind ML algorithms
39,Machine Learning St. Talk,🤖 AI / Machine Learning,Add,~176K,https://www.youtube.com/@MachineLearningStreetTalk,Unfiltered technical AI debates and researcher interviews,Advanced,"Rigorous, critical conversations about where AI is actually going"
40,Dwarkesh Patel,🤖 AI / Machine Learning,Add,~350K,https://www.youtube.com/@DwarkeshPatel,"Long-form interviews combining intelligence, AI, and big ideas",Mixed (All Levels),The intellectual successor to Lex Fridman — rising star in AI discourse
41,Wes Roth,🤖 AI / Machine Learning,Add,~350K,https://www.youtube.com/@WesRoth,"AI news deep dives: OpenAI, AGI debates, enterprise AI analysis",Mixed (All Levels),"Clear-eyed, technically credible AI news and analysis"
42,Google Cloud Tech,🤖 AI / Machine Learning,Add,~500K,https://www.youtube.com/@GoogleCloudTech,"GCP AI services, ML infrastructure, Vertex AI tutorials",Intermediate,Key for understanding the cloud infrastructure powering modern AI
43,OpenAI,🤖 AI / Machine Learning,Add,~800K,https://www.youtube.com/@OpenAI,"GPT updates, research announcements, developer tutorials",Mixed (All Levels),Directly from the most influential AI lab in the world
44,Anthropic,🤖 AI / Machine Learning,Add,~100K,https://www.youtube.com/@anthropic-ai,"AI safety research, Claude updates, alignment and interpretability talks",Mixed (All Levels),Frontier safety research — essential if you care about AI going right
45,Krish Naik,🤖 AI / Machine Learning,Add,~1.1M,https://www.youtube.com/@krishnaik06,ML/DL/NLP tutorials with real-world examples — India's top AI educator,Beginner,Best practical ML educator for applied AI career building — wide reach
46,CodeEmporium,🤖 AI / Machine Learning,Add,~120K,https://www.youtube.com/@CodeEmporium,"GANs, transformers, LLMs built from scratch in Python",Advanced,"For engineers who want to build, not just watch — deep and precise"
47,The AI Grid,🤖 AI / Machine Learning,Add,~374K,https://www.youtube.com/@TheAiGrid,Demos and breakdowns of the latest AI software and tools,Mixed (All Levels),Best for evaluating new AI tools quickly and objectively
48,AI Coffee Break,🤖 AI / Machine Learning,Add,~85K,https://www.youtube.com/@AICoffeeBreak,Letitia's accessible AI research paper explanations,Intermediate,Bridges gap between research papers and practical understanding
49,Stanford Online,🤖 AI / Machine Learning,Add,~1.5M,https://www.youtube.com/@stanfordonline,"CS224N, CS229 and other Stanford AI/ML courses — full lecture series",Advanced,Free Stanford-quality AI courses — the academic gold standard
50,Weights & Biases,🤖 AI / Machine Learning,Add,~90K,https://www.youtube.com/@WeightsBiases,"MLOps, experiment tracking, model training best practices",Advanced,Essential for anyone shipping ML models to production
51,Sam Witteveen,🤖 AI / Machine Learning,Add,~80K,https://www.youtube.com/@samwitteveenai,"ML project builds, framework tutorials, LLM deployment and agents",Advanced,Highly practical AI engineering from a hands-on practitioner
52,Siraj Raval,🤖 AI / Machine Learning,Add,~750K,https://www.youtube.com/@SirajRaval,"AI projects, startup building, data literacy — entertaining delivery",Beginner,One of the earliest and most entertaining AI educators on YouTube
53,Ken Jee,🤖 AI / Machine Learning,Add,~250K,https://www.youtube.com/@KenJee_DS,"Data science career, Kaggle projects, practical ML advice",Beginner,Best for navigating the early data-science career landscape
54,AssemblyAI,🤖 AI / Machine Learning,Add,~60K,https://www.youtube.com/@AssemblyAI,"Audio AI, speech recognition, NLP tutorials and model updates",Intermediate,"Specialist channel for speech and audio AI — often missed, very useful"
55,AI Jason,🤖 AI / Machine Learning,Add,~200K,https://www.youtube.com/@AIJasonZ,"LLM application building, agents, RAG — hands-on developer focus",Intermediate,Practical LLM engineering for building real AI products fast
56,David Shapiro,🤖 AI / Machine Learning,Add,~200K,https://www.youtube.com/@DavidShapiroAutomator,"AI agents, autonomous systems, AGI philosophy and practical builds",Mixed (All Levels),Rare mix of philosophical and practical AGI thinking
57,Google Brain / Google AI,🤖 AI / Machine Learning,Add,~200K,https://www.youtube.com/@GoogleAI,"Research talks, ML breakthroughs and model releases from Google AI",Advanced,Another direct line to Google's vast AI research output
58,Meta AI,🤖 AI / Machine Learning,Add,~130K,https://www.youtube.com/@MetaAI,"LLaMA, PyTorch, research from Meta's AI division",Advanced,Open-source AI powerhouse — PyTorch and LLaMA originate here
59,Prompt Engineering Guide,🤖 AI / Machine Learning,Add,~50K,https://www.youtube.com/@dair-ai,"DAIR.AI: democratizing AI research — papers, tutorials, prompt guides",Intermediate,Bridges latest AI research and practical application beautifully
60,Boston Dynamics,🦾 Robotics,Add,~3.5M,https://www.youtube.com/@BostonDynamics,"Atlas, Spot, Handle demos — state-of-the-art mobile robotics",Mixed (All Levels),The world benchmark for what robots can physically do today
61,Skyentific,🦾 Robotics,Add,~150K,https://www.youtube.com/@Skyentific,"DIY robot arms, actuators, 3D-printed robotics builds",Advanced,"Best hands-on DIY robotics channel — real engineering, real builds"
62,Articulated Robotics,🦾 Robotics,Add,~200K,https://www.youtube.com/@ArticulatedRobotics,"ROS2 tutorials, robot building, simulation with Gazebo",Intermediate,Go-to channel for practical ROS2 and robot programming
63,Robot Brains Podcast,🦾 Robotics,Add,~30K,https://www.youtube.com/@RobotBrains,"Interviews with robotics researchers, founders, and engineers",Mixed (All Levels),Industry insight from the minds actually building the future of robotics
64,James Bruton,🦾 Robotics,Add,~400K,https://www.youtube.com/@jamesbruton,"Former toy designer building open-source robots — openDog, humanoids",Intermediate,Exceptional DIY robotics with mechanical design depth and openness
65,PRO ROBOTS,🦾 Robotics,Add,~2.0M,https://www.youtube.com/@ProRobots,"Latest trends in robotics, AI, and humanoid robots — news format",Mixed (All Levels),Best news/showcase channel for robotics industry updates globally
66,IEEE Spectrum,🦾 Robotics,Add,~400K,https://www.youtube.com/@IEEESpectrum,"Tech demos, AI, robotics, biotech — from IEEE's journalism team",Mixed (All Levels),Gold standard of engineering journalism — trusted and thorough
67,Universal Robots,🦾 Robotics,Add,~90K,https://www.youtube.com/@universalrobots,Collaborative robot (cobot) demos for factory and industry use,Mixed (All Levels),Key for understanding where industrial and collaborative robotics is heading
68,Hanson Robotics,🦾 Robotics,Add,~100K,https://www.youtube.com/@HansonRobotics,Social humanoid robots — Sophia and next-gen expressive robots,Mixed (All Levels),Unique focus on human-robot interaction and social robotics
69,Xyla Foxlin,🦾 Robotics,Add,~350K,https://www.youtube.com/@XylaFoxlin,Creative robotic builds blending engineering with art and storytelling,Intermediate,Refreshingly original engineering channel — maker meets roboticist
70,ETH Zürich RSL,🦾 Robotics,Add,~41K,https://www.youtube.com/@RSL_ETHZurich,"Legged robotics research — ANYmal, rough-terrain locomotion, control",Advanced,World-class academic robotics lab sharing cutting-edge research
71,IHMC Robotics,🦾 Robotics,Add,~130K,https://www.youtube.com/@IHMCRobotics,"Exoskeletons, humanoid robots, DARPA challenge entries",Advanced,Top US robotics research lab — frontier humanoid locomotion work
72,IEEE RAS,🦾 Robotics,Add,~20K,https://www.youtube.com/@IEEERoboticsAutomation,Conference talks and research from IEEE Robotics & Automation Society,Advanced,Access to the academic robotics community's best published work
73,Arduino,🦾 Robotics,Add,~600K,https://www.youtube.com/@Arduino,"Microcontroller tutorials, IoT and robotics project ideas",Beginner,The entry point for physical computing and hardware robotics
74,SparkFun Electronics,🦾 Robotics,Add,~200K,https://www.youtube.com/@sparkfun,"Sensors, robotics kits, microcontrollers — maker-friendly tutorials",Beginner,Great for hardware beginners getting into electronics and robotics
75,Simone Giertz,🦾 Robotics,Add,~2.9M,https://www.youtube.com/@simonegiertz,Intentionally terrible robots — creative hardware engineering with joy,Mixed (All Levels),Best channel for inspiring non-engineers to engage with robotics
76,Mark Rober,🦾 Robotics,Add,~50M,https://www.youtube.com/@MarkRober,"Engineering challenges, creative robotic builds, STEM outreach at scale",Mixed (All Levels),Exceptional engineering storytelling reaching the widest audiences
77,Corridor Crew,🦾 Robotics,Add,~6.5M,https://www.youtube.com/@CorridorCrew,VFX/AI breakdown — covers AI-generated content and simulation tech,Mixed (All Levels),Unique bridge between AI/CG rendering and real simulation technology
78,Levi Janssen,🦾 Robotics,Add,~80K,https://www.youtube.com/@levijanssen,"Humanoid robot tutorials, actuator design, legged robot builds",Advanced,Up-and-coming channel focused squarely on next-gen humanoid robots
79,Robotics Simplified,🦾 Robotics,Add,~60K,https://www.youtube.com/@RoboticsSimplified,"Accessible robotics concepts — kinematics, ROS, robot design explained clearly",Beginner,Excellent on-ramp for those new to robotics engineering concepts
80,Microsoft Research,🔬 Deep Tech & Research,Add,~190K,https://www.youtube.com/@MicrosoftResearch,"Research talks: AI, quantum, HCI, systems from MSR labs worldwide",Advanced,Window into Microsoft's long-term research agenda — diverse and deep
81,Microsoft Developer,🔬 Deep Tech & Research,Keep,~800K,https://www.youtube.com/@MicrosoftDeveloper,"AI integrations, Azure, .NET, developer tools and research talks",Intermediate,Big-tech AI from a developer lens — includes research previews
82,ColdFusion,🔬 Deep Tech & Research,Keep,~4.8M,https://www.youtube.com/@ColdFusion,"Tech industry stories, company histories, AI impact documentaries",Mixed (All Levels),Best documentary-style tech storytelling on YouTube
83,AWS,🔬 Deep Tech & Research,Keep,~900K,https://www.youtube.com/@amazonwebservices,"Cloud AI, ML infrastructure, re:Invent talks, developer tutorials",Intermediate,Essential for cloud-side AI engineering and infrastructure
84,NVIDIA Developer,🔬 Deep Tech & Research,Add,~200K,https://www.youtube.com/@NVIDIADeveloper,"GPU computing, CUDA, AI frameworks, GTC conference talks",Advanced,Critical for understanding the hardware powering the AI revolution
85,IBM Qiskit,🔬 Deep Tech & Research,Add,~90K,https://www.youtube.com/@qiskit,"Quantum computing tutorials, Qiskit framework, research talks",Advanced,Best educational entry point for quantum computing programming
86,Veritasium,🔬 Deep Tech & Research,Add,~16M,https://www.youtube.com/@veritasium,"Science, engineering, emerging tech — deep explanations with experiments",Mixed (All Levels),"World-class production; covers AI, physics, computing with real depth"
87,Quanta Magazine,🔬 Deep Tech & Research,Add,~350K,https://www.youtube.com/@quantamagazine,"Math, physics, CS breakthroughs — rigorous science journalism in video form",Advanced,Most trusted source for accurate science and CS research reporting
88,CNCF,🔬 Deep Tech & Research,Add,~75K,https://www.youtube.com/@cncf,"Cloud-native: Kubernetes, Prometheus, service mesh, WASM conference talks",Advanced,Source of truth for the cloud-native ecosystem from the foundation
89,a16z,🔬 Deep Tech & Research,Add,~300K,https://www.youtube.com/@a16z,"VC perspective on AI, biotech, crypto, deeptech investment trends",Mixed (All Levels),Best channel to understand how capital and tech strategy intersect
90,Y Combinator,🔬 Deep Tech & Research,Add,~1.1M,https://www.youtube.com/@ycombinator,"Startup talks, SWE culture, founder interviews, tech strategy",Mixed (All Levels),How Silicon Valley's most influential accelerator thinks about tech
91,Simons Institute,🔬 Deep Tech & Research,Add,~15K,https://www.youtube.com/@SimonsInstitute,Theoretical CS and math talks from Berkeley's Simons Institute,Advanced,Highest rigor academic content in theoretical computer science
92,Kurzgesagt,🔬 Deep Tech & Research,Add,~23M,https://www.youtube.com/@kurzgesagt,"Animated explainers on science, AI, space, biotech — beautifully produced",Mixed (All Levels),Best gateway to deep tech topics for broad audiences and newcomers
93,Numberphile,🔬 Deep Tech & Research,Add,~4.5M,https://www.youtube.com/@numberphile,Math deep dives with academic researchers — entertaining and rigorous,Mixed (All Levels),Surprisingly relevant for CS/AI — builds vital mathematical intuition
94,TED Talks Tech,🔬 Deep Tech & Research,Add,~21M,https://www.youtube.com/@TED,"High-quality talks on AI ethics, robotics, quantum, future of tech",Mixed (All Levels),Unmatched speaker quality for big-picture tech and society thinking
95,IBM Research,🔬 Deep Tech & Research,Add,~60K,https://www.youtube.com/@IBMResearch,"Quantum, AI, materials science research from IBM Labs worldwide",Advanced,"Covers quantum computing, AI hardware, and scientific computing depth"
96,Sabine Hossenfelder,🔬 Deep Tech & Research,Add,~1.2M,https://www.youtube.com/@SabineHossenfelder,"Physics, quantum tech, AI critique — skeptical science journalism",Mixed (All Levels),Essential voice of scientific skepticism on AI and quantum hype
97,Primer,🔬 Deep Tech & Research,Add,~1.6M,https://www.youtube.com/@PrimerBlobs,"Simulations showing AI, biology, economics — emergent behavior models",Mixed (All Levels),Unique simulation-driven channel for understanding complex systems
98,Scale AI,🔬 Deep Tech & Research,Add,~20K,https://www.youtube.com/@scaleai,"Data labeling, AI infrastructure, frontier model evaluation insights",Advanced,Key window into the data infrastructure that trains modern AI
99,Lex Clips,🔬 Deep Tech & Research,Add,~200K,https://www.youtube.com/@LexClips,Curated condensed clips from Lex Fridman's interviews,Mixed (All Levels),Great way to efficiently sample long-form Lex content by topic
100,Google DeepMind,🔬 Deep Tech & Research,Add,~370K,https://www.youtube.com/@Google_DeepMind,"AlphaFold, Gemini, AI safety — research showcases from DeepMind",Advanced,Frontier research lab directly sharing breakthrough AI work
101,Apple Machine Learning,🔬 Deep Tech & Research,Add,~50K,https://www.youtube.com/@Apple,"On-device ML, neural engine, Core ML — Apple's ML engineering updates",Advanced,Critical for understanding the other side of AI: privacy-first on-device ML
